Country,Code,Continent region,Year,Environmental factor,Death rate
Liberia,LBR,Africa,2019,Outdoor air pollution,13.47965986
Liberia,LBR,Africa,2019,Unsafe water source,41.32157634
Liberia,LBR,Africa,2019,Secondhand smoke,3.470210052
Liberia,LBR,Africa,2019,Air pollution from solid fuels,54.44017388
Libya,LBY,Africa,2019,Outdoor air pollution,52.67093393
Libya,LBY,Africa,2019,Unsafe water source,0.563244091
Libya,LBY,Africa,2019,Secondhand smoke,17.67368621
Libya,LBY,Africa,2019,Air pollution from solid fuels,0.121782506
Lithuania,LTU,Europe,2019,Outdoor air pollution,45.81020902
Lithuania,LTU,Europe,2019,Unsafe water source,0.178946129
Lithuania,LTU,Europe,2019,Secondhand smoke,20.61459406
Lithuania,LTU,Europe,2019,Air pollution from solid fuels,2.183142774
Luxembourg,LUX,Europe,2019,Outdoor air pollution,16.61287643
Luxembourg,LUX,Europe,2019,Unsafe water source,0
Luxembourg,LUX,Europe,2019,Secondhand smoke,8.064503122
Luxembourg,LUX,Europe,2019,Air pollution from solid fuels,0
Madagascar,MDG,Africa,2019,Outdoor air pollution,8.517010813
Madagascar,MDG,Africa,2019,Unsafe water source,56.93866888
Madagascar,MDG,Africa,2019,Secondhand smoke,5.291805866
Madagascar,MDG,Africa,2019,Air pollution from solid fuels,77.93882091
Malawi,MWI,Africa,2019,Outdoor air pollution,7.308927593
Malawi,MWI,Africa,2019,Unsafe water source,34.30266815
Malawi,MWI,Africa,2019,Secondhand smoke,3.688914869
Malawi,MWI,Africa,2019,Air pollution from solid fuels,65.61074305
Malaysia,MYS,Asia,2019,Outdoor air pollution,33.19105402
Malaysia,MYS,Asia,2019,Unsafe water source,2.213143389
Malaysia,MYS,Asia,2019,Secondhand smoke,18.18069859
Malaysia,MYS,Asia,2019,Air pollution from solid fuels,0.338373163
Maldives,MDV,Asia,2019,Outdoor air pollution,11.69456183
Maldives,MDV,Asia,2019,Unsafe water source,1.783916211
Maldives,MDV,Asia,2019,Secondhand smoke,9.11779397
Maldives,MDV,Asia,2019,Air pollution from solid fuels,4.558896985
Mali,MLI,Africa,2019,Outdoor air pollution,16.64768519
Mali,MLI,Africa,2019,Unsafe water source,57.76610625
Mali,MLI,Africa,2019,Secondhand smoke,6.004641126
Mali,MLI,Africa,2019,Air pollution from solid fuels,109.7852604
Malta,MLT,Europe,2019,Outdoor air pollution,32.33729184
Malta,MLT,Europe,2019,Unsafe water source,0
Malta,MLT,Europe,2019,Secondhand smoke,10.71296785
Malta,MLT,Europe,2019,Air pollution from solid fuels,0
Marshall Islands,MHL,Oceania,2019,Outdoor air pollution,26.82883205
Marshall Islands,MHL,Oceania,2019,Unsafe water source,8.942944017
Marshall Islands,MHL,Oceania,2019,Secondhand smoke,35.77177607
Marshall Islands,MHL,Oceania,2019,Air pollution from solid fuels,53.6576641
Mauritania,MRT,Africa,2019,Outdoor air pollution,32.57411466
Mauritania,MRT,Africa,2019,Unsafe water source,29.17527497
Mauritania,MRT,Africa,2019,Secondhand smoke,4.813121985
Mauritania,MRT,Africa,2019,Air pollution from solid fuels,27.55569364
Mauritius,MUS,Africa,2019,Outdoor air pollution,47.86786573
Mauritius,MUS,Africa,2019,Unsafe water source,0.473939265
